PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH
0002-1423_1761b768-7da0-44a9-bded-54c3bc63414a,0002-1423,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-1433_d89b25b3-0f8d-4cbd-b58b-44d112cd7fe6,0002-1433,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20140918,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,0.75,mg/.5mL,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",,N,20241231
0002-1434_d89b25b3-0f8d-4cbd-b58b-44d112cd7fe6,0002-1434,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20140918,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,1.5,mg/.5mL,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",,N,20241231
0002-1436_bec46346-20b5-4dbe-bac3-b8564e906941,0002-1436,HUMAN PRESCRIPTION DRUG,EMGALITY,,galcanezumab-gnlm,"INJECTION, SOLUTION",SUBCUTANEOUS,20180927,,BLA,BLA761063,Eli Lilly and Company,GALCANEZUMAB,120,mg/mL,,,N,20241231
0002-1445_02b8e3f2-ea8d-427e-97ae-392c1245e1b0,0002-1445,HUMAN PRESCRIPTION DRUG,TALTZ,,ixekizumab,"INJECTION, SOLUTION",SUBCUTANEOUS,20160322,,BLA,BLA125521,Eli Lilly and Company,IXEKIZUMAB,80,mg/mL,"Interleukin-17A Antagonist [EPC], Interleukin-17A Antagonists [MoA]",,N,20251231
0002-1457_b597917f-9673-4331-809d-79a538bb943c,0002-1457,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-1460_b597917f-9673-4331-809d-79a538bb943c,0002-1460,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-1471_b597917f-9673-4331-809d-79a538bb943c,0002-1471,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-1484_b597917f-9673-4331-809d-79a538bb943c,0002-1484,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-1495_b597917f-9673-4331-809d-79a538bb943c,0002-1495,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-1506_b597917f-9673-4331-809d-79a538bb943c,0002-1506,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-2002_1761b768-7da0-44a9-bded-54c3bc63414a,0002-2002,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-2214_b597917f-9673-4331-809d-79a538bb943c,0002-2214,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-2236_d89b25b3-0f8d-4cbd-b58b-44d112cd7fe6,0002-2236,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20200903,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,3,mg/.5mL,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",,N,20241231
0002-2340_b597917f-9673-4331-809d-79a538bb943c,0002-2340,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-2377_bec46346-20b5-4dbe-bac3-b8564e906941,0002-2377,HUMAN PRESCRIPTION DRUG,EMGALITY,,galcanezumab-gnlm,"INJECTION, SOLUTION",SUBCUTANEOUS,20180927,,BLA,BLA761063,Eli Lilly and Company,GALCANEZUMAB,120,mg/mL,,,N,20241231
0002-2423_b597917f-9673-4331-809d-79a538bb943c,0002-2423,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-2457_1761b768-7da0-44a9-bded-54c3bc63414a,0002-2457,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-2460_1761b768-7da0-44a9-bded-54c3bc63414a,0002-2460,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-2471_1761b768-7da0-44a9-bded-54c3bc63414a,0002-2471,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-2484_1761b768-7da0-44a9-bded-54c3bc63414a,0002-2484,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-2495_1761b768-7da0-44a9-bded-54c3bc63414a,0002-2495,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-2506_1761b768-7da0-44a9-bded-54c3bc63414a,0002-2506,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20251231
0002-2980_16fba03c-8787-45b3-aa1b-1cf2b5c7610a,0002-2980,HUMAN PRESCRIPTION DRUG,RETEVMO,,selpercatinib,CAPSULE,ORAL,20200508,,NDA,NDA213246,Eli Lilly and Company,SELPERCATINIB,80,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Rearranged during Transfection (RET) Inhibitors [MoA]",,N,20251231
0002-3002_b597917f-9673-4331-809d-79a538bb943c,0002-3002,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20241231
0002-3115_bec46346-20b5-4dbe-bac3-b8564e906941,0002-3115,HUMAN PRESCRIPTION DRUG,EMGALITY,,galcanezumab-gnlm,"INJECTION, SOLUTION",SUBCUTANEOUS,20190604,,BLA,BLA761063,Eli Lilly and Company,GALCANEZUMAB,100,mg/mL,,,N,20241231
0002-3182_d89b25b3-0f8d-4cbd-b58b-44d112cd7fe6,0002-3182,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20200903,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,4.5,mg/.5mL,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",,N,20241231
0002-3227_6963b20c-fce1-414e-90b6-5d0730f93191,0002-3227,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,10,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",,N,20241231
0002-3228_6963b20c-fce1-414e-90b6-5d0730f93191,0002-3228,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,25,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",,N,20241231
0002-3229_6963b20c-fce1-414e-90b6-5d0730f93191,0002-3229,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,40,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",,N,20241231
0002-3230_c0e0ab8a-6a1e-4361-b8c6-00163eaa0f7b,0002-3230,HUMAN PRESCRIPTION DRUG,Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20070409,,NDA,NDA021520,Eli Lilly and Company,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,25; 3,mg/1; mg/1,"Atypical Antipsychotic [EPC], Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",,N,20241231
0002-3231_c0e0ab8a-6a1e-4361-b8c6-00163eaa0f7b,0002-3231,HUMAN PRESCRIPTION DRUG,Symbyax,,Olanzapine and Fluoxetine hydrochloride,CAPSULE,ORAL,20031224,,NDA,NDA021520,Eli Lilly and Company,FLUOXETINE HYDROCHLORIDE; OLANZAPINE,25; 6,mg/1; mg/1,"Atypical Antipsychotic [EPC], Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",,N,20241231
0002-3235_9b59611f-2b1b-46d7-8d7e-9d0779811309,0002-3235,HUMAN PRESCRIPTION DRUG,Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20040824,,NDA,NDA021427,Eli Lilly and Company,DULOXETINE HYDROCHLORIDE,20,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",,N,20241231
0002-3238_6963b20c-fce1-414e-90b6-5d0730f93191,0002-3238,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,18,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",,N,20241231
0002-3239_6963b20c-fce1-414e-90b6-5d0730f93191,0002-3239,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,60,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",,N,20241231
0002-3240_9b59611f-2b1b-46d7-8d7e-9d0779811309,0002-3240,HUMAN PRESCRIPTION DRUG,Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20040824,,NDA,NDA021427,Eli Lilly and Company,DULOXETINE HYDROCHLORIDE,30,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",,N,20241231
0002-3250_6963b20c-fce1-414e-90b6-5d0730f93191,0002-3250,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20050214,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,80,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",,N,20241231
0002-3251_6963b20c-fce1-414e-90b6-5d0730f93191,0002-3251,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20050214,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,100,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",,N,20241231
0002-3270_9b59611f-2b1b-46d7-8d7e-9d0779811309,0002-3270,HUMAN PRESCRIPTION DRUG,Cymbalta,,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20100115,,NDA,NDA021427,Eli Lilly and Company,DULOXETINE HYDROCHLORIDE,60,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",,N,20241231
0002-3977_16fba03c-8787-45b3-aa1b-1cf2b5c7610a,0002-3977,HUMAN PRESCRIPTION DRUG,RETEVMO,,selpercatinib,CAPSULE,ORAL,20200508,,NDA,NDA213246,Eli Lilly and Company,SELPERCATINIB,40,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Rearranged during Transfection (RET) Inhibitors [MoA]",,N,20251231
0002-4112_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4112,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19970623,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,2.5,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4115_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4115,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,5,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4116_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4116,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,7.5,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4117_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4117,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,19961001,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,10,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4182_44ded0f7-8c82-4875-ad44-db5b0354a094,0002-4182,HUMAN PRESCRIPTION DRUG,Olumiant,,baricitinib,"TABLET, FILM COATED",ORAL,20180531,,NDA,NDA207924,Eli Lilly and Company,BARICITINIB,2,mg/1,"Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",,N,20241231
0002-4184_736ef754-5dd5-422b-81fa-bf12e9ee8afb,0002-4184,HUMAN PRESCRIPTION DRUG,Evista,,Raloxifene hydrochloride,TABLET,ORAL,19980106,,NDA,NDA020815,Eli Lilly and Company,RALOXIFENE HYDROCHLORIDE,60,mg/1,"Estrogen Agonist/Antagonist [EPC], Selective Estrogen Receptor Modulators [MoA]",,N,20241231
0002-4312_5ef14cf2-d634-4a7b-9254-4cc480e8a48d,0002-4312,HUMAN PRESCRIPTION DRUG,Reyvow,,lasmiditan,TABLET,ORAL,20191011,,NDA,NDA211280,Eli Lilly and Company,LASMIDITAN,50,mg/1,,CV,N,20241231
0002-4415_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4415,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,20000110,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,15,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4420_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4420,HUMAN PRESCRIPTION DRUG,Zyprexa,,Olanzapine,TABLET,ORAL,20010301,,NDA,NDA020592,Eli Lilly and Company,OLANZAPINE,20,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4453_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4453,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20000601,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,5,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4454_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4454,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20000601,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,10,mg/1,Atypical Antipsychotic [EPC],,N,20241231
