ID,Ingredient,Form,Dosage
28106151018,erenumab,inject,140 mg
28105961917,erenumab,inject,70 mg
28106151118,erenumab,inject,140 mg
28105962017,erenumab,inject,70 mg
28104870711,ketoprofen,inject,100 mg/ml
28104081507,"air,medical",gas,100%
28105943417,"budesonide,formoterolfumaratedihydrate",powder,160+4.5 mikrogram/dosis
28106389620,"budesonide,formoterolfumaratedihydrate",powder,320+9 mikrogram/dosis
28105633715,"fluticasonepropionate,salmeterolxinafoate",powder,50 mikrog+500 mikrog
28106118118,"fluticasonepropionate,salmeterolxinafoate",spray,25+125 mikrog./dosis
28105926917,"fluticasonepropionate,salmeterol",powder,50+250 mikrogram
28106246719,"fluticasonepropionate,salmeterol",powder,50+500 mikrogram
28105213813,"fluticasonepropionate,salmeterol",powder,50+250 mikrogram
28106175818,"fluticasonepropionate,salmeterol",powder,50+250 mikrogram
28105213913,"fluticasonepropionate,salmeterol",powder,50+500 mikrogram
28105737016,"fluticasonepropionate,salmeterolxinafoate",spray,25+125 mikrog./dosis
28105737116,"fluticasonepropionate,salmeterolxinafoate",spray,25+250 mikrog./dosis
28105663615,"fluticasonepropionate,salmeterol",powder,50+500 mikrogram
28101697294,salbutamolsulfate,spray,0.1 mg/dosis
28101329088,salbutamolsulfate,spray,0.1 mg/dosis
28104043406,salbutamolsulfate,spray,100 mikrogram/dosis
28106836322,"commondogweed(grasspollenallergen),commongulaks(grasspollenallergen)",tablet,100+300 ri
28106836622,"commondogweed(grasspollenallergen),commongulaks(grasspollenallergen)",tablet,300 ri
28106490320,"dermatophagoidesfarinae,dermatophagoidespteronyssinus",tablet,100+300 ri
28106434420,"dermatophagoidesfarinae,dermatophagoidespteronyssinus",tablet,100 ri
28106490420,"dermatophagoidesfarinae,dermatophagoidespteronyssinus",tablet,300 ri
28104491509,tylvalosintartrate,granule,625 mg/g
28104491409,tylvalosintartrate,powder,42.5 mg/g
28104356508,acetylisovaleryltylosintartrate,granule,625 mg/g
28105141112,tylvalosintartrate,granule,625 mg/g
28104123207,acetylisovaleryltylosintartrate,granule,625 mg/g
28106067918,fremanezumab,inject,225 mg
28106418220,fremanezumab,inject,225 mg
28106776822,"abirateroneacetate,niraparibtosylatemonohydrate",tablet,100+500 mg
28106776722,"abirateroneacetate,niraparibtosylatemonohydrate",tablet,50+500 mg
28100249157,biperidenlactate,inject,5 mg/ml
28100231857,biperidenhydrochloride,tablet,2 mg
28105844116,biperidenhydrochloride,tablet,2 mg
28106187818,trifarotene,cream,50 mikrogram/g
28105396414,amisulpride,tablet,100 mg
28105396514,amisulpride,tablet,200 mg
28107030623,amisulpride,tablet,200 mg
28107074023,amisulpride,tablet,200 mg
28105396614,amisulpride,tablet,400 mg
28105396314,amisulpride,tablet,50 mg
28101821496,activatedcarbon,capsule,200 mg
28105375314,"netupitant,palonosetronhydrochloride",capsule,300 mg / 0.5 mg
28106235518,"fosnetupitanthydrochloride,palonosetronhydrochloride",powder,235 mg/ 0.25 mg
28101221385,oxytetracycline,inject,200 mg/ml
28101572393,oxytetracycline,inject,300 mg/ml
28103931806,ramipril,tablet,10 mg
28103931606,ramipril,tablet,2.5 mg
28103931706,ramipril,tablet,5 mg
28101813496,imiquimod,cream,5%
28105663215,alectinibhydrochloride,capsule,150 mg
28105346313,alendronatesodiumanhydrous,tablet,70 mg
28104299808,alendronatesodiumtrihydrate,tablet,70 mg
28105654415,"cholecalciferol,alendronatesodiumtrihydrate",tablet,70 mg+140 mikrogram
28105654315,"cholecalciferol,alendronatesodiumtrihydrate",tablet,70 mg+70 mikrogram
28105993017,"alendronicacid,cholecalciferoltrituration",tablet,70 mg+140 mikrogram
28105992917,"alendronicacid,cholecalciferoltrituration",tablet,70 mg+70 mikrogram
28103605903,alendronatesodiumtrihydrate,tablet,10 mg
28103606003,alendronatesodiumtrihydrate,tablet,70 mg
28104110607,alendronatesodiumtrihydrate,tablet,70 mg
28103778605,alendronatesodiumtrihydrate,tablet,10 mg
28103778705,alendronatesodiumtrihydrate,tablet,70 mg
28103164900,alendronatesodiummonohydrate,tablet,10 mg
28103833505,alendronatesodiumtrihydrate,tablet,70 mg
28107070623,alfacalcidole,capsule,1 mikrogram
28104701110,alfacalcidole,capsule,0.25 mikrogram
28104701210,alfacalcidole,capsule,0.5 mikrogram
28104701310,alfacalcidole,capsule,1 mikrogram
28105925517,alfacalcidole,capsule,1 mikrogram
28105216713,alfacalcidole,capsule,0.25 mikrogram
28105216813,alfacalcidole,capsule,0.5 mikrogram
28105216913,alfacalcidole,capsule,1 mikrogram
28106485020,dexamethasonesodiumphosphate,inject,2 mg/ml
28104603309,cloprostenolsodium,inject,0.250 mg/ml
28105459014,alfaxalonum,inject,10 mg/ml
28106096518,alfaxalonum,inject,10 mg/ml
28106157118,alfentanilhydrochloride,inject,0.5 mg/ml
28105679815,alfuzosinhydrochloride,tablet,10 mg
28105679715,alfuzosinhydrochloride,tablet,2.5 mg
28103846505,alfuzosinhydrochloride,tablet,10 mg
28103845905,alfuzosinhydrochloride,tablet,10 mg
28103473003,alfuzosinhydrochloride,tablet,10 mg
28104354908,pemetrexeddisodium,powder,100 mg
28103558203,pemetrexeddisodium,powder,500 mg
28104359008,fluticasonefuroate,spray,27.5 mikrogram
28106235019,alitretinoin,capsule,10 mg
28106235119,alitretinoin,capsule,30 mg
28107056323,alitretinoin,capsule,30 mg
28106599721,alitretinoin,capsule,10 mg
28103554203,aglepristone,inject,30 mg/ml
28101055380,"betulaverrucosaehrh.(vortebirk,synonymofb.pendularoth)",inject,100.000 sq-u/ml
28101194184,"betulaverrucosaehrh.(vortebirk,synonymofb.pendularoth)",inject,10.000 sq-u/ml
28101175980,"betulaverrucosaehrh.(vortebirk,synonymofb.pendularoth)",inject,behandlingssæt
28101122783,wheat(grasspollenallergen),inject,100.000 sq-u/ml
28101194784,wheat(grasspollenallergen),inject,10.000 sq-u/ml
28101055480,wheat(grasspollenallergen),inject,behandlingssæt
28101123283,dermatophagoidespteronyssinus,inject,100.000 sq-u/ml
28101194484,dermatophagoidespteronyssinus,inject,10.000 sq-u/ml
28101093682,dermatophagoidespteronyssinus,inject,behandlingssæt
28101248185,dogshair,inject,100.000 sq-u/ml
28101248285,dogshair,inject,behandlingssæt
28101130083,cathair,inject,100.000 sq-u/ml
28101130183,cathair,inject,behandlingssæt
28101249285,"honningbi,married",inject,100.000 sq-u/ml
28101249185,"honningbi,married",inject,initialsæt
28101249385,"honningbi,married",powder,450.000 sq-u/htgl
28101249885,wheat,inject,100.000 sq-u/ml
28101249785,wheat,inject,initialsæt
28101249985,wheat,powder,450.000 sq-u/htgl
28106866722,potassiumcitratemonohydrate,tablet,10 meq
28103204700,melphalan,tablet,2 mg
28106035017,melphalan,tablet,2 mg
28106485220,melphalan,tablet,2 mg
28105878416,hydrocortisone,granule,0.5 mg
28105878516,hydrocortisone,granule,1 mg
28105878616,hydrocortisone,granule,2 mg
28105878716,hydrocortisone,granule,5 mg
28101475291,azelastinehydrochloride,spray,0.14 mg/dosis
28105123512,azelastinehydrochloride,spray,0.21 mg/dosis
28106130718,acrivastin,capsule,8 mg
28104222107,orlistat,capsule,60 mg
28106017917,allopurinol,tablet,100 mg
28106018017,allopurinol,tablet,300 mg
28106358219,allopurinol,tablet,100 mg
28106358319,allopurinol,tablet,300 mg
28101058280,allopurinol,tablet,100 mg
28101058380,allopurinol,tablet,300 mg
28107022723,allopurinol,tablet,100 mg
28105340413,allopurinol,tablet,100 mg
28105340513,allopurinol,tablet,300 mg
28105612015,allopurinol,tablet,100 mg
28105612115,allopurinol,tablet,300 mg
28104453608,allopurinol,tablet,100 mg
28104453708,allopurinol,tablet,300 mg
28106366819,"clostridiumbotulinum,typeatoxin-haemagglutinincomplexes",inject,200 enheder/ml
28100702376,"aluminiumaminoacetate,hydrate,magnesiumhydroxide,heavy",tablet,500 mg + 100 mg
28103149300,almotryptandl-hydrogenmaleate,tablet,12.5 mg
28106556620,almotryptandl-hydrogenmaleate,tablet,12.5 mg
28106701021,almotryptandl-hydrogenmaleate,tablet,12.5 mg
28105020112,almotryptandl-hydrogenmaleate,tablet,12.5 mg
28106794122,amoxicillintrihydrate,inject,150 mg/ml
28105689015,fexofenadinehydrochloride,tablet,180 mg
28103323001,cetirizinedihydrochloride,tablet,10 mg
28107067623,cetirizinedihydrochloride,tablet,10 mg
28105754216,darvadstrocel,inject,5.000.000 celler/ml
28103562503,palonosetronhydrochloride,inject,50 mikrogram/ml
28104445008,palonosetronhydrochloride,capsule,500 mikrogram
28104794410,nan,inject,
28106579321,"milbemycinoxime,praziquantel",tablet,12+30 mg
28106579421,"milbemycinoxime,praziquantel",tablet,16+40 mg
28106579221,"milbemycinoxime,praziquantel",tablet,4+10 mg
28104879811,alprazolam,tablet,0.5 mg
28104879911,alprazolam,tablet,1 mg
28104880011,alprazolam,tablet,2 mg
28105947517,alprazolam,tablet,0.25 mg
28105947617,alprazolam,tablet,0.5 mg
28105947717,alprazolam,tablet,1 mg
28105947817,alprazolam,tablet,2 mg
28101542392,alprazolam,tablet,0.25 mg
28101542492,alprazolam,tablet,0.5 mg
28101542592,alprazolam,tablet,1 mg
28101463091,alprazolam,tablet,0.25 mg
28101421390,alprazolam,tablet,0.5 mg
28101421490,alprazolam,tablet,1 mg
28105635315,eftrenonacogalfa,powder,1000 iu
28105635415,eftrenonacogalfa,powder,2000 iu
28105635115,eftrenonacogalfa,powder,250 iu
28105635515,eftrenonacogalfa,powder,3000 iu
28105635215,eftrenonacogalfa,powder,500 iu
28106375619,alprostadil,powder,10 mikrogram
28104713910,alprazolam,tablet,0.25 mg
28104714010,alprazolam,tablet,0.5 mg
28104714110,alprazolam,tablet,1 mg
28103632304,fexofenadinehydrochloride,tablet,120 mg
28103632404,fexofenadinehydrochloride,tablet,180 mg
28103888605,fexofenadinehydrochloride,tablet,120 mg
28103888705,fexofenadinehydrochloride,tablet,180 mg
28105913017,brigatinib,tablet,180 mg
28105912817,brigatinib,tablet,30 mg
28105912917,brigatinib,tablet,90 mg
28106356619,brigatinib,tablet,90 mg + 180 mg
28106793022,"betulaverrucosaehrh.(vortebirk,synonymofb.pendularoth)",inject,100.000 sq-u/ml
28107019123,wheat(grasspollenallergen),inject,100.000 sq-u/ml
28106107718,"lopinavir,ritonavir",tablet,100 mg/25 mg
28106107818,"lopinavir,ritonavir",tablet,200 mg/ 50 mg
28103827005,butorphanoltartrate,inject,10 mg/ml
28103707804,ciclesonide,spray,160 mikrogram/dosis
28106485120,ciclesonide,spray,160 mikrogram/dosis
28106652421,ciclesonide,spray,160 mikrogram/dosis
28103707704,ciclesonide,spray,80 mikrogram/dosis
28106438820,ciclesonide,spray,80 mikrogram/dosis
28106657321,ciclesonide,spray,80 mikrogram/dosis
28104526909,atipamezolehydrochloride,inject,5 mg/ml
28103270601,"hepatitisavirusstrainhm175(inactivated),hepatitisbvirussurfaceantigen(rdna)",inject,
28101464891,amphotericinb,powder,50 mg
28104524509,amphotericinb,powder,50 mg
28104531209,amphotericinb,powder,50 mg
28106116918,ambrisentan,tablet,10 mg
28106116818,ambrisentan,tablet,5 mg
28106252519,ambrisentan,tablet,10 mg
28106252419,ambrisentan,tablet,5 mg
28106127318,ambrisentan,tablet,10 mg
28106127218,ambrisentan,tablet,5 mg
28106119718,ambrisentan,tablet,10 mg
28106119618,ambrisentan,tablet,5 mg
28106116518,ambrisentan,tablet,10 mg
28106116418,ambrisentan,tablet,5 mg
28106610321,ambroxolhydrochloride,tablet,60 mg
28105252913,amoxicillintrihydrate,powder,697 mg/g
28104776710,aminolaevulinicacidhydrochloride,gel,78 mg/g
28104939511,fipronil,spray,2.5 mg/ml
28105710015,adalimumab,inject,20 mg
28105710115,adalimumab,inject,40 mg
28105940615,adalimumab,inject,40 mg
28106628021,amifampridinephosphate,tablet,10 mg
28106252319,amicacicsulphate,inject,250 mg/ml
28106964923,amicacicsulphate,inject,250 mg/ml
28101196884,"amyloridehydrochloridedihydrate,hydrochlorothiazide",tablet,50 + 5 mg
28105965717,amiodaronehydrochloride,inject,50 mg/ml
28106852422,amiodaronehydrochloride,inject,50 mg/ml
28106526220,amiodaronehydrochloride,tablet,100 mg
28106630721,amiodaronehydrochloride,inject,50 mg/ml
28104220107,amisulpride,tablet,200 mg
28104220007,amisulpride,tablet,50 mg
28106085218,amisulpride,tablet,100 mg
28106085318,amisulpride,tablet,200 mg
28106085418,amisulpride,tablet,400 mg
28106085118,amisulpride,tablet,50 mg
28106980723,amisulpride,tablet,100 mg
28106931923,amisulpride,tablet,200 mg
28106931323,amisulpride,tablet,50 mg
28105871516,amitriptylinehydrochloride,tablet,10 mg
28105871616,amitriptylinehydrochloride,tablet,25 mg
28105871716,amitriptyline,tablet,50 mg
28100695476,amitriptylinehydrochloride,tablet,10 mg
28100695576,amitriptylinehydrochloride,tablet,25 mg
28100695676,amitriptylinehydrochloride,tablet,50 mg
28106285119,amitriptylinehydrochloride,tablet,22.1 mg
28106285219,amitriptylinehydrochloride,tablet,44.2 mg
28106285019,amitriptylinehydrochloride,tablet,8.8 mg
28103655204,amlodipinebesilate,tablet,10 mg
28103655004,amlodipinebesilate,tablet,5 mg
28103655104,amlodipinebesilate,tablet,7.5 mg
28105872416,amlodipinebesilate,tablet,10 mg
28105872316,amlodipinebesilate,tablet,5 mg
28103370602,amlodipinemesilatemonohydrate,tablet,10 mg
28103370502,amlodipinemesilatemonohydrate,tablet,5 mg
28104586809,amlodipinebesilate,tablet,10 mg
